sep=;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
post_name;post_title;post_status;post_content;post_excerpt;post_author;post_parent;post_date;comment_status;ping_status;post_image;ait-items;ait-locations;subtitle;featuredItem;headerImage;headerHeight;address;latitude;longitude;streetview;telephone;telephoneAdditional@number;email;showEmail;contactOwnerBtn;web;webLinkLabel;displayOpeningHours;openingHoursMonday;openingHoursTuesday;openingHoursWednesday;openingHoursThursday;openingHoursFriday;openingHoursSaturday;openingHoursSunday;openingHoursNote;displaySocialIcons;socialIconsOpenInNewWindow;socialIcons@icon;socialIcons@link;displayGallery;gallery@title;gallery@image;displayFeatures;features@icon;features@text;features@desc
campbel;Campbel;publish;A short description of the initiative by its initiators will appear here shortly.;;9;;;;;ARA_Default_Banner_Thumb_Image-1;;london;;0;;;27 Belfast Toad London N16 6UN;51.5657162;-0.0706166;;;;info@campbellworks.org;1;1;http://www.campbellworks.org/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
studio1-1;studio1.1;publish;A short description of the initiative by its initiators will appear here shortly.;;10;;;;;ARA_Default_Banner_Thumb_Image-1;;london;;0;;;57a Redchurch Street Shoreditich London E2 7DJ;51.5245736;-0.0746563;;;;info@studio1-1.co.uk;1;1;http://www.studio1-1.co.uk/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
gasworks;Gasworks;publish;A short description of the initiative by its initiators will appear here shortly.;;11;;;;;ARA_Default_Banner_Thumb_Image-1;;london;;0;;;155 Vauxhall Street London SE11 5RH;51.4851589;-0.1155027;;;;info@gasworks.org.uk;1;1;https://www.gasworks.org.uk/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
zebra3;Zebra3;publish;A short description of the initiative by its initiators will appear here shortly.;;12;;;;;ARA_Default_Banner_Thumb_Image-1;;bordeaux;;0;;;10 quai de Brazza, (Fabrique Pola) 33 100 Bordeaux;44.8236063;-0.5613791;;;;zebra3@buy-sellf.com;1;1;https://www.zebra3.org/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
apt-studios;APT Studios;publish;A short description of the initiative by its initiators will appear here shortly.;;13;;;;;ARA_Default_Banner_Thumb_Image-1;;london;;0;;;6 Creekside, Deptford London SE8 4SA;51.4770661;-0.021002;;;;aptlondon@btconnect.com;1;1;http://www.aptstudios.org/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
acme;ACME;publish;A short description of the initiative by its initiators will appear here shortly.;;14;;;;;ARA_Default_Banner_Thumb_Image-1;;london;;0;;;44 Copperfield Road, Bow, London, E3 4RR;51.5188372;-0.0355674;;;;mail@acme.org.uk;1;1;http://www.acme.org.uk/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
chisenhale-gallery;Chisenhale Gallery;publish;A short description of the initiative by its initiators will appear here shortly.;;15;;;;;ARA_Default_Banner_Thumb_Image-1;;london;;0;;;64 Chisenhale Road, London E3 5QZ;51.5331551;-0.0395624;;;;mail@chisenhale.org.uk;1;1;http://www.chisenhale.org.uk/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
auto-italia;Auto Italia;publish;A short description of the initiative by its initiators will appear here shortly.;;16;;;;;ARA_Default_Banner_Thumb_Image-1;;london;;0;;;44 Bonner Road, London E2 9JS;51.5324108;-0.052362;;;;info@autoitaliasoutheast.org;1;1;http://autoitaliasoutheast.org/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
cell-projects;Cell Projects;publish;A short description of the initiative by its initiators will appear here shortly.;;17;;;;;ARA_Default_Banner_Thumb_Image-1;;london;;0;;;258 Cambridge Heath Road, London E2 9DA;51.5332151;-0.056793;;;;info@cellprojects.org;1;1;http://www.cellprojects.org/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
space-studios;Space Studios;publish;A short description of the initiative by its initiators will appear here shortly.;;18;;;;;ARA_Default_Banner_Thumb_Image-1;;london;;0;;;129-131 Mare Street, Hackney, London E8 3RH;51.538461;-0.057356;;;;mail@spacestudios.org.uk;1;1;http://www.spacestudios.org.uk/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
no-w-here;No-W Here;publish;A short description of the initiative by its initiators will appear here shortly.;;19;;;;;ARA_Default_Banner_Thumb_Image-1;;london;;0;;;First Floor, 316-318 Bethnal Green Road, London E2 OAG;51.5264489;-0.0640131;;;;info@no-w-here.org.uk;1;1;http://www.no-w-here.org.uk/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
the-sunday-painter;The Sunday Painter;publish;A short description of the initiative by its initiators will appear here shortly.;;20;;;;;ARA_Default_Banner_Thumb_Image-1;;london;;0;;;1st floor, 12-16 Blenheim Grove, London, SE15 4QL;51.4696396;-0.0692499;;;;info@thesundaypainter.co.uk;1;1;http://www.thesundaypainter.co.uk/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
matts-gallery;Matts Gallery;publish;A short description of the initiative by its initiators will appear here shortly.;;21;;;;;ARA_Default_Banner_Thumb_Image-1;;london;;0;;;Unit 2, 65 Decima Street London SE1 4QR;51.4976071;-0.0842535;;;;info@mattsgallery.org;1;1;http://www.mattsgallery.org/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
cubbit;Cubbit;publish;A short description of the initiative by its initiators will appear here shortly.;;22;;;;;ARA_Default_Banner_Thumb_Image-1;;london;;0;;;8 Angel Mews, London N1 9HH;51.5322357;-0.1075727;;;;info@cubittartists.org.uk;1;1;http://cubittartists.org.uk/?section=1;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
institute-of-contemporary-arts;Institute Of Contemporary Arts;publish;A short description of the initiative by its initiators will appear here shortly.;;23;;;;;ARA_Default_Banner_Thumb_Image-1;;london;;0;;;12 Carlton House Terrace, London, UK;51.5063335;-0.1309615;;;;info@ica.art;1;1;https://www.ica.art/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
five-years;Five Years;publish;A short description of the initiative by its initiators will appear here shortly.;;24;;;;;ARA_Default_Banner_Thumb_Image-1;;london;;0;;;Unit 2B1 Elthorne Rd, London N19 4AJ;51.5658994;-0.1310102;;;;info@fiveyears.org.uk;1;1;http://www.fiveyears.org.uk/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
studio-voltaire;Studio Voltaire;publish;A short description of the initiative by its initiators will appear here shortly.;;25;;;;;ARA_Default_Banner_Thumb_Image-1;;london;;0;;;1A Nelson's Row, London SW4 7JR;51.4619556;-0.1343446;;;;info@studiovoltaire.org;1;1;http://www.studiovoltaire.org/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
