"sep=;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
post_name;post_title;post_status;post_content;post_excerpt;post_author;post_parent;post_date;comment_status;ping_status;post_image;ait-items;ait-locations;subtitle;featuredItem;headerImage;headerHeight;address;latitude;longitude;streetview;telephone;telephoneAdditional@number;email;showEmail;contactOwnerBtn;web;webLinkLabel;displayOpeningHours;openingHoursMonday;openingHoursTuesday;openingHoursWednesday;openingHoursThursday;openingHoursFriday;openingHoursSaturday;openingHoursSunday;openingHoursNote;displaySocialIcons;socialIconsOpenInNewWindow;socialIcons@icon;socialIcons@link;displayGallery;gallery@title;gallery@image;displayFeatures;features@icon;features@text;features@desc
";splitfountain;";SplitFountain;;A short description of the initiative by its initiators will appear here shortly.;;306;;;;;ARA_Default_Banner_Thumb_Image-1;;";auckland;";;;;;3C/23 Dondonald St. Eden Terrace Auckland 1021 New Zealand;-36.8647017;174.759451;;;;hello@splitfountain.org;1;1;http://www.splitfountain.org/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";enjoy;";Enjoy;;A short description of the initiative by its initiators will appear here shortly.;;307;;;;;ARA_Default_Banner_Thumb_Image-1;;";wellington;";;;;;Level 1/147 Cuba St. Wellington 6011 Aotearoa New Zealand;-41.2969092;174.7742193;;;;enjoy@enjoy.org.nz;1;1;http://www.enjoy.org.nz/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";minibar;";Minibar;;A short description of the initiative by its initiators will appear here shortly.;;308;;;;;ARA_Default_Banner_Thumb_Image-1;;";stockholm;";;;;;Halsingegatan 33, Vasastan Stockholm;59.3444305;18.0406107;;;;info@minibarsthlm.com;1;1;http://www.minibarsthlm.com/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";index-foundation;";Index Foundation;;A short description of the initiative by its initiators will appear here shortly.;;309;;;;;ARA_Default_Banner_Thumb_Image-1;;";stockholm;";;;;;kungsbrostrand 19, 1126 Stockholm;59.3305563;18.0510641;;;;info@indexfoundation.de;1;1;http://indexfoundation.se/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";fylkingen;";Fylkingen;;A short description of the initiative by its initiators will appear here shortly.;;310;;;;;ARA_Default_Banner_Thumb_Image-1;;";stockholm;";;;;;Torkel Knutssonsgatan 2 118 25 STOCKHOLM ;59.3206802;18.056175;;;;;1;1;ordforande@fylkingen.se;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";detroit;";Detroit;;A short description of the initiative by its initiators will appear here shortly.;;311;;;;;ARA_Default_Banner_Thumb_Image-1;;";stockholm;";;;;;Roslagsgatan 21, Stockholm;59.3470994;18.0589338;;;;mail@detroitstockholm.com;1;1;http://www.detroitstockholm.com/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";grafiska-sallskapet-the-swedish-printmakers-associ;";Grafiska Sallskapet The Swedish Printmakers Association;;A short description of the initiative by its initiators will appear here shortly.;;312;;;;;ARA_Default_Banner_Thumb_Image-1;;";stockholm;";;;;;Hornsgatan 6, 118 20 Stockholm;59.319897;18.0697111;;;;g@boardy.se;1;1;http://grafiskasallskapet.se/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";nationalgalleriet;";Nationalgalleriet;;A short description of the initiative by its initiators will appear here shortly.;;313;;;;;ARA_Default_Banner_Thumb_Image-1;;";stockholm;";;;;;Skomakargatan 3, 111 , 29 Stockholm;59.3245801;18.0707584;;;;edvard@dad.a.se;1;1;http://nationalgalleriet.just.nu/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";svenska-konstnarernas-foreningkonstnarshuset;";Svenska Konstnarernas ForeningKonstnarshuset;;A short description of the initiative by its initiators will appear here shortly.;;314;;;;;ARA_Default_Banner_Thumb_Image-1;;";stockholm;";;;;;Smalandsgatan 7 111 46 Stockholm;59.3335698;18.0745644;;;;konstnarligledare@konstnarshuset.org;1;1;http://konstnarshuset.org/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
";konsthall-c;";Konsthall C;;A short description of the initiative by its initiators will appear here shortly.;;315;;;;;ARA_Default_Banner_Thumb_Image-1;;";stockholm;";;;;;Cigarrvagen 16 123 57 Farsta;59.2536636;18.078419;;;;info@konsthallc.se;1;1;http://www.konsthallc.se/;;1;Coming Soon;;;;;;;;;;;;1;;;;;;
