"sep=;";;;;;;;;;;;
slug;name;description;parent;keywords;icon;header_type;header_image;header_image_align;category_featured;header_height;taxonomy_image
";tirana;";Tirana;;";albania;";;;;;;;;
";sydney;";Sydney;;";australia;";;;;;;;;
";gosford;";Gosford;;";australia;";;;;;;;;
";newcastle;";Newcastle;;";australia;";;;;;;;;
";brisbane;";Brisbane;;";australia;";;;;;;;;
";canberra;";Canberra;;";australia;";;;;;;;;
";blackheath;";Blackheath;;";australia;";;;;;;;;
";yarraville;";Yarraville;;";australia;";;;;;;;;
";melbourne;";Melbourne;;";australia;";;;;;;;;
";kandos;";Kandos;;";australia;";;;;;;;;
";darwin;";Darwin;;";australia;";;;;;;;;
";wollongong;";Wollongong;;";australia;";;;;;;;;
";cairns;";Cairns;;";australia;";;;;;;;;
";gold-coast;";Gold Coast;;";australia;";;;;;;;;
";toowoomba;";Toowoomba;;";australia;";;;;;;;;
";blue-mountains;";Blue Mountains;;";australia;";;;;;;;;
";townsville;";Townsville;;";australia;";;;;;;;;
";riverina;";Riverina;;";australia;";;;;;;;;
";alice-springs;";Alice Springs;;";australia;";;;;;;;;
";vienna;";Vienna;;";austria;";;;;;;;;
";saulzburg;";saulzburg;;";austria;";;;;;;;;
";graz;";Graz;;";austria;";;;;;;;;
";brussels;";Brussels;;";belgium;";;;;;;;;
";sarajevo;";Sarajevo;;";bosnia-and-herzegovina;";;;;;;;;
";rio-de-janeiro;";Rio de Janeiro;;";brazil;";;;;;;;;
";sofia;";Sofia;;";bulgaria;";;;;;;;;
";toronto;";Toronto;;";canada;";;;;;;;;
";vancouver;";Vancouver;;";canada;";;;;;;;;
";saint-jean-sur-richelieu;";Saint-Jean-sur-Richelieu;;";canada;";;;;;;;;
";montreal;";Montreal;;";canada;";;;;;;;;
";annapolis-royal;";Annapolis Royal;;";canada;";;;;;;;;
";kamloops;";Kamloops;;";canada;";;;;;;;;
";val-david;";Val-David;;";canada;";;;;;;;;
";quebec;";Quebec;;";canada;";;;;;;;;
";gatineau;";Gatineau;;";canada;";;;;;;;;
";rimouski;";Rimouski;;";canada;";;;;;;;;
";fredericton;";Fredericton;;";canada;";;;;;;;;
";thunder-bay;";Thunder Bay;;";canada;";;;;;;;;
";halifax;";Halifax;;";canada;";;;;;;;;
";st-john;";St. John;;";canada;";;;;;;;;
";winnipeg;";Winnipeg;;";canada;";;;;;;;;
";peterborough;";Peterborough;;";canada;";;;;;;;;
";granby;";Granby;;";canada;";;;;;;;;
";saskatoon;";Saskatoon;;";canada;";;;;;;;;
";windsor;";Windsor;;";canada;";;;;;;;;
";matane;";Matane;;";canada;";;;;;;;;
";london;";London;;";canada;";;;;;;;;
";moncton;";Moncton;;";canada;";;;;;;;;
";sudbury;";Sudbury;;";canada;";;;;;;;;
";kingston;";Kingston;;";canada;";;;;;;;;
";saguenay;";Saguenay;;";canada;";;;;;;;;
";ottowa;";Ottowa;;";canada;";;;;;;;;
";trois-rivieres;";Trois-Rivieres;;";canada;";;;;;;;;
";alma;";Alma;;";canada;";;;;;;;;
";hamillton;";Hamillton;;";canada;";;;;;;;;
";edmonton;";Edmonton;;";canada;";;;;;;;;
";rouyn-noranda;";Rouyn Noranda;;";canada;";;;;;;;;
";regina;";Regina;;";canada;";;;;;;;;
";st-catherines;";St. Catherines;;";canada;";;;;;;;;
";kelowna;";Kelowna;;";canada;";;;;;;;;
";nelson;";Nelson;;";canada;";;;;;;;;
";sept-iles;";Sept-Iles;;";canada;";;;;;;;;
";saint-therese;";Saint-Therese;;";canada;";;;;;;;;
";levis;";Levi's;;";canada;";;;;;;;;
";calgary;";Calgary;;";canada;";;;;;;;;
";sherbrooke;";Sherbrooke;;";canada;";;;;;;;;
";sackville;";Sackville;;";canada;";;;;;;;;
";prince-albert;";Prince Albert;;";canada;";;;;;;;;
";saint-john;";Saint John;;";canada;";;;;;;;;
";st-albert;";St. Albert;;";canada;";;;;;;;;
";north-bay;";North Bay;;";canada;";;;;;;;;
";longueuil;";Longueuil;;";canada;";;;;;;;;
";beijing;";Beijing;;";china;";;;;;;;;
";guangzhou;";Guangzhou;;";china;";;;;;;;;
";nicosia;";Nicosia;;";cyprus;";;;;;;;;
";prauge;";Prauge;;";czeck-republic;";;;;;;;;
";kolin;";Kolin;;";czeck-republic;";;;;;;;;
";aarhus;";Aarhus;;";denmark;";;;;;;;;
";helsinki;";Helsinki;;";finland;";;;;;;;;
";turku;";Turku;;";finland;";;;;;;;;
";vassa; ;";vassa ;;";finland;";;;;;;;;
";le-rochelle;";Le Rochelle;;";france;";;;;;;;;
";paris;";Paris;;";france;";;;;;;;;
";lille;";Lille;;";france;";;;;;;;;
";bordeaux;";Bordeaux;;";france;";;;;;;;;
";berlin;";Berlin;;";germany;";;;;;;;;
";leipzig;";Leipzig;;";germany;";;;;;;;;
";dresden;";Dresden;;";germany;";;;;;;;;
";stuttgart;";Stuttgart;;";germany;";;;;;;;;
";hamburg;";Hamburg;;";germany;";;;;;;;;
";karlshuse;";Karlshuse;;";germany;";;;;;;;;
";dusseldurf;";Dusseldurf;;";germany;";;;;;;;;
";bonn;";Bonn;;";germany;";;;;;;;;
";frankfurt;";Frankfurt;;";germany;";;;;;;;;
";dusseldorf;";Dusseldorf;;";germany;";;;;;;;;
";koln;";Koln;;";germany;";;;;;;;;
";mannein;";Mannein;;";germany;";;;;;;;;
";london;";London;;";great-britain;";;;;;;;;
";reykjavik;";Reykjavik;;";iceland;";;;;;;;;
";new; delhi;";New Delhi;;";india;";;;;;;;;
";teheran;";Teheran;;";iran;";;;;;;;;
";tehran;";Tehran;;";iran;";;;;;;;;
";limerick;";Limerick;;";ireland;";;;;;;;;
";dublin;";Dublin;;";ireland;";;;;;;;;
";jerusalem;";Jerusalem;;";israel;";;;;;;;;
";roma;";Roma;;";italy;";;;;;;;;
";milano;";Milano;;";italy;";;;;;;;;
";bozen;";Bozen;;";italy;";;;;;;;;
";bologna;";Bologna;;";italy;";;;;;;;;
";palermo;";Palermo;;";italy;";;;;;;;;
";osaka;";Osaka;;";japan;";;;;;;;;
";tokyo;";Tokyo;;";japan;";;;;;;;;
";rīga;";Rīga;;";latvia;";;;;;;;;
";riga;";Riga;;";latvia;";;;;;;;;
";dunedin;";Dunedin;;";new-zealand;";;;;;;;;
";wellington;";Wellington;;";new-zealand;";;;;;;;;
";auckland;";Auckland;;";new-zealand;";;;;;;;;
";belfast;";Belfast;;";northern-ireland-gbr;";;;;;;;;
";oslo;";Oslo;;";norway;";;;;;;;;
";stavanger;";Stavanger;;";norway;";;;;;;;;
";tromso;";Tromso;;";norway;";;;;;;;;
";ramallah;";Ramallah;;";palestine;";;;;;;;;
";poznan;";Poznan;;";poland;";;;;;;;;
";warshau;";Warshau;;";poland;";;;;;;;;
";porto;";Porto;;";portugal;";;;;;;;;
";st-petersburg;";St. Petersburg;;";russia;";;;;;;;;
";glasgow;";Glasgow;;";sctoland-gbr;";;;;;;;;
";edinbrugh;";Edinbrugh;;";sctoland-gbr;";;;;;;;;
";ljubljana;";Ljubljana;;";slovenia;";;;;;;;;
";capetown;";Capetown;;";south-africa;";;;;;;;;
";cape-town;";Cape Town;;";south-africa;";;;;;;;;
";barcelona;";barcelona;;";spain;";;;;;;;;
";madrid;";Madrid;;";spain;";;;;;;;;
";stockholm;";Stockholm;;";sweden;";;;;;;;;
";malmö;";Malmö;;";sweden;";;;;;;;;
";gothenburg;";Gothenburg;;";sweden;";;;;;;;;
";falun;";Falun;;";sweden;";;;;;;;;
";eskilstuna;";Eskilstuna;;";sweden;";;;;;;;;
";göteborg;";Göteborg;;";sweden;";;;;;;;;
";västerås;";Västerås;;";sweden;";;;;;;;;
";stockholm;"; Stockholm;;";sweden;";;;;;;;;
";uppsala;";Uppsala;;";sweden;";;;;;;;;
";norrköping;";Norrköping;;";sweden;";;;;;;;;
";zurich;";Zurich;;";switzerland;";;;;;;;;
";adligenswil;";Adligenswil;;";switzerland;";;;;;;;;
";basel;";Basel;;";switzerland;";;;;;;;;
";st-gellen;";St. Gellen;;";switzerland;";;;;;;;;
";bern;";Bern;;";switzerland;";;;;;;;;
";geneva;";Geneva;;";switzerland;";;;;;;;;
";lausanne;";Lausanne;;";switzerland;";;;;;;;;
";lucerne;";Lucerne;;";switzerland;";;;;;;;;
";lugano;";Lugano;;";switzerland;";;;;;;;;
";olten;";Olten;;";switzerland;";;;;;;;;
";lenzburg;";Lenzburg;;";switzerland;";;;;;;;;
";winterthur;";Winterthur;;";switzerland;";;;;;;;;
";renens;";Renens;;";switzerland;";;;;;;;;
";aarau;";Aarau;;";switzerland;";;;;;;;;
";biel;";Biel;;";switzerland;";;;;;;;;
";solothurn;";Solothurn;;";switzerland;";;;;;;;;
";sedrun;";Sedrun;;";switzerland;";;;;;;;;
";schaffhausen;";Schaffhausen;;";switzerland;";;;;;;;;
";fribourg;";Fribourg;;";switzerland;";;;;;;;;
";trogen;";Trogen;;";switzerland;";;;;;;;;
";kreuzlingen;";Kreuzlingen;;";switzerland;";;;;;;;;
";vevey;";Vevey;;";switzerland;";;;;;;;;
";locarno;";Locarno;;";switzerland;";;;;;;;;
";frauenfeld;";Frauenfeld;;";switzerland;";;;;;;;;
";luzern-zurich;";Luzern/Zurich;;";switzerland;";;;;;;;;
";vaz-obervaz;";Vaz/Obervaz;;";switzerland;";;;;;;;;
";damascus;";Damascus;;";syrian-arab-republic;";;;;;;;;
";rotterdam;";Rotterdam;;";the-netherlands;";;;;;;;;
";amsterdam;";Amsterdam;;";the-netherlands;";;;;;;;;
";haarlem;";Haarlem;;";the-netherlands;";;;;;;;;
";maastricht;";Maastricht;;";the-netherlands;";;;;;;;;
";istanbul;";Istanbul;;";turkey;";;;;;;;;
";los-angeles-ca;";Los Angeles, CA;;";united-states;";;;;;;;;
";new-york-ny;";New York, NY;;";united-states;";;;;;;;;
";pheonix-az;";Pheonix, AZ;;";united-states;";;;;;;;;
";chicago-il;";Chicago, IL;;";united-states;";;;;;;;;
";bingamton-ny;";Bingamton, NY;;";united-states;";;;;;;;;
";culver-city-ca;";Culver City, CA;;";united-states;";;;;;;;;
";stone-mountain-ga;";Stone Mountain, GA;;";united-states;";;;;;;;;
";long-island-city-ny;";Long Island City, NY;;";united-states;";;;;;;;;
";atlanta-ga;";Atlanta, GA;;";united-states;";;;;;;;;
";new-york-city;";New York City;;";united-states;";;;;;;;;
";san-pedro-ca;";San Pedro, CA;;";united-states;";;;;;;;;
";minneapolis-mn;";Minneapolis, MN;;";united-states;";;;;;;;;
";columbus;";Columbus;;";united-states;";;;;;;;;
";san-fransisco-ca;";San Fransisco, CA;;";united-states;";;;;;;;;
";miami-fl;";Miami, FL;;";united-states;";;;;;;;;
";ny;";NY;;";united-states;";;;;;;;;
";acre-ny;";Acre, NY;;";united-states;";;;;;;;;
";philadelphia-pa;";Philadelphia, PA;;";united-states;";;;;;;;;
";santa-monica;";Santa Monica;;";united-states;";;;;;;;;
";philadelphia-pa;";Philadelphia,PA;;";united-states;";;;;;;;;
";detroit-mi;";Detroit, MI;;";united-states;";;;;;;;;
";oakland-ca;";Oakland, CA;;";united-states;";;;;;;;;
";talca;";Talca;;";chile;";;;;;;;;
";johanesburg;";Johanesburg;;";south-africa;";;;;;;;;
";lagos;";Lagos;;";nigeria;";;;;;;;;
";hong-kong;";Hong Kong;;";china;";;;;;;;;
";tokyo;";Tokyo ;;";japan;";;;;;;;;
";shanghai;";Shanghai;;";china;";;;;;;;;
";yogyakarta;";Yogyakarta;;";indonesia;";;;;;;;;
";ho-chi-man-city;";Ho Chi Man City;;";vietnam;";;;;;;;;
";taipei;";Taipei;;";taiwan;";;;;;;;;
";skien;";Skien;;";norway;";;;;;;;;
";hong-kong;";Hong Kong;;";hong-kong;";;;;;;;;
";kytakyushu;";Kytakyushu;;";japan;";;;;;;;;
";seoul;";Seoul;;";korea;";;;;;;;;
";singapore;";Singapore;;";singapore;";;;;;;;;
";karachi;";Karachi;;";pakistan;";;;;;;;;
";kassel;";Kassel;;";germany;";;;;;;;;
";bamako;";Bamako ;;";mali;";;;;;;;;
";sidi; thabet;";Sidi Thabet;;";tunisia;";;;;;;;;
";tunis;";Tunis;;";tunisia;";;;;;;;;
";jakarta;";Jakarta ;;";indonesia;";;;;;;;;
";toulouse;";Toulouse;;";france;";;;;;;;;
";hanoi;";Hanoi ;;";vietnam;";;;;;;;;
";osaka;";Osaka ;;";japan;";;;;;;;;
";holon;";Holon ;;";israel;";;;;;;;;
";manila;";Manila;;";philippines;";;;;;;;;
